정류장명,거래건수
송강정종점,2839
송곡,1464
송림주택,107910
송산,3242
송산유원지,4188
송산유원지(종점),4303
송암공단,40109
송암공단입구,281629
송암동,42379
송원대,204490
송정IC,112655
송정공원역,806306
송정대덕아파트,123528
송정모아아파트,70364
송정시장,35445
송정신한화아파트,122
송정초교,115978
송정파출소(남),60138
송정파출소(북),333915
송정한전,25603
송정호반아파트,25818
송촌동,886
송하삼익아파트,238306
송학,130
송학입구,425
송화마을1단지,3132
송화마을1단지입구,2491
송화마을3단지,69524
송화마을4단지,116223
송화마을5단지,80434
수곡,7885
수동,394
수리,1202
수문초교입구,12643
수북,2579
수북면사무소,1984
수북사거리,9731
수성,18
수완동,582
수완동공원,2410
수완모아엘가,461254
수완보건지소,15905
수완새한포유,146007
수완아름공원,12394
수완양우내안애,173468
수완영무예다음,65985
수완우미린2차,233010
수완자동차매매단지,720
수완중흥S-클래스 1차,242050
수완중흥S-클래스 2차,92857
수완지구,8626
수완진흥더루벤스,31499
수완현진에버빌1차,291730
수창초교후문,30598
수촌,188
수춘,2449
수피아여고,12454
수호,14303
쉬어가는집,208
승가마을,135
승촌,8077
승촌주택단지,1008
시립공원묘지,945
시립민속박물관,28419
시립장애인복지관,239619
시립제2요양병원,29675
시목,7007
시산,523
시청,606982
시화문화마을문화관,24880
신가동,480759
신가사거리,88134
신가우미아파트,236467
신가주공아파트,295850
신가중,195337
신갈,643
신광,3
신광(삼도),522
신기교,69836
신남마을,1807
신당,1548
신덕마을,2909
신동마을,630
신동사거리,105000
신동아아파트,24059
신등,1410
신봉정,577
신성화학,7791
신세계백화점,741195
신세계백화점(북),158078
신수교,4727
신아산,241
신안교,312198
신안교입구,46254
신안동행정복지센터,62412
신안사거리,323035
신암마을,71693
신야촌,124
신야촌입구,13
신양파크호텔,619
신용,420
신용두,84664
신용마을,5148
신용중입구,62834
신용초등학교,87427
신우아파트,309533
신운,170
신장,7509
신창동우체국,286393
신창부영1차아파트,90768
신창부영2차아파트,58679
신창용수마을,89004
신창중,532862
신창초교,454736
신창호반아파트,9178
신촌 아랫길(4수원지),2169
신촌 아랫길(임곡),297
신촌 윗길(4수원지),1035
신촌 윗길(임곡),779
신촌(본량),1617
신평,397
신효천마을,10943
신흥맨션,77704
신흥목재포장,5044
싸이클경기장,12131
쌍내,966
쌍암공원,211050
쌍촌시영아파트,334959
쌍촌역,44186
쌍촌현대아파트,29385
아르네코리아,271
아리랑고개,114530
안양사,1091
안청,8034
안청농협,25482
압촌마을,21
앰코코리아,16798
앵남2구,678
앵남역,291
양곡,1476
양과동,3649
양동교,5716
양동복개쇼핑센터,27504
양동시장교차로,141900
양동시장역(남),164897
양동시장역(북),672758
양동시장역(천변),25573
양림교,4976
양림마을,76
양림휴먼시아1차,366149
양림휴먼시아2차,456128
양산GS그린자이아파트,22376
양산초교,10249
양산초교입구,183960
양산타운,117804
양산택지사거리,191785
양산호반2차,120331
양산호수공원,269457
양일로입구,21592
양지,2042
양지마을,32516
양지분교,2439
양지초교,77590
양촌(대촌),3173
양촌(삼도),175
어등초교,478416
어룡초교,64425
어운,6005
어전,972
에이팩스,356
엔씨백화점,124089
역산공원입구,61854
연계삼거리,567
연동,1036
연동 동길,832
연동 서길,309
연동(담양),433
연동삼거리,339
연양리1구,363
연양리2구,234
연제새한아파트,17747
연제외촌,8588
연제외촌입구,16316
연제주공아파트,15020
연제현대아파트,38572
연진회미술원,108851
연천,4471
연합의원,3702
연호전자,193
연화공장,565
염주맨션,294481
염주사거리(동),252858
염주사거리(서),237094
염주주공,104054
염주체육관,193914
영광통,487477
영광통사거리,61606
영락공원,9268
영락공원2단지,5899
영락공원입구,1969
영천,1907
영천마을9단지,98780
영천초교,144686
예림,1638
예술의거리입구,525177
오강리,908
오룡,139
오비맥주,32721
오선동,23256
오성아파트,6377
오정초교입구,10922
오치1동행정복지센터,31559
오치주공,221110
오치초교,194532
오치한전,578365
오치한전(북),90880
오치한전옆,9579
옥동,2544
옥동차량기지,168
옥산,113
와산,1573
와우리,1828
외등,261
요한병원,35342
용강입구,294
용곡입구,1916
용동(임곡),41
용동(평동),1847
용두입구,2378
용두주공,278490
용봉2휴먼시아아파트,78072
용봉동 도나우타운,3960
용봉동성당,11179
용봉마을,5238
용봉모아아파트,21750
용봉쌍용아파트,97419
용봉우미아파트,46357
용봉입구,843
용봉주공,197718
용봉중,141245
용봉초교,173743
용봉한화꿈에그린,96117
용봉현대1차,24917
용봉현대1차아파트,19418
용봉현대3차아파트,26179
용산교(동구),450
용산교(북구),2030
용산마을,3126
용산지구대성베르힐,118375
용산지구모아엘가에듀파크,41515
용산초교,25796
용생,597
용성자동차학원,249
용연동,3703
용연정수장,2004
용전,1094
용전사거리(남),13576
용전사거리(북),44744
용전입구,6018
용주초교,218324
용호(광산구),824
용호(북구),7955
우산동중흥S클래스,76700
우산리버힐아파트,69169
우산시영2단지(동),129905
우산시영2단지(서),27026
우영아파트,245
우정사업정보센터,16306
우주선어린이공원입구,6283
우진아파트,37893
우치,2129
우치공원,42153
우편집중국,175758
운남삼성아파트,785008
운리마을,29034
운리초교입구,20184
운림중,226117
운수마을,4552
운암3단지,1131691
운암3동행정복지센터,25855
운암마을,341
운암벽산블루밍,119133
운암산코오롱하늘채아파트,25233
운암시장,591608
운암우미아파트,326788
운암우성아파트,21709
운암중,422202
운암초교,302308
운천역,199620
운천역(북),41689
운천저수지,565634
운천초교,81351
운평,2764
원광대한방병원,49674
원동마을,2842
원두공원,75
원사호마을,589
원산,3302
원삼각마을삼일아파트,32820
원예농협,1619
원임곡,2800
원지리,137
원화리,1775
월계중,29028
월곡,942
월곡2동행정복지센터,11722
월곡마을,163
월곡시장,587034
월곡일신아파트,805891
월남동,31460
월드컵경기장,242579
월드컵경기장 정문,1442
월드컵경기장주차장,8289
월봉서원입구,306
월산(본량),1180
월산(삼각동),29490
월산(석곡),3532
월산4동,152914
월산5동,278445
월산마을,205647
월산마을입구,6535
월산사거리,14193
월산초교,28149
월성,864
월성(담양),2192
월암,32744
월인,3312
월전(광산구),2205
월전(담양),1828
월전공원,335
월전공원(남),7813
월전마을,10595
월정,979
월정(장성),98
유격훈련장,36668
유니버시아드힐스테이트,180348
유덕1교차로,585
유덕2교차로,3264
유덕동주민센터,6373
유덕초교,297282
유덕치안센터,3394
유동사거리,307784
유림,2090
유림마을,3447
유산교,542
유안초교,4449
유애서원,425
유창아파트,322596
유창허니문,13938
유창허니문입구,1663
유촌,1039
육묘장,1135
육판리,36471
육판서길,725
율곡초교,245390
은빛마을,60100
은혜학교,21194
응기,1326
응암공원,347023
이동,329
이동입구,659
이동입구(서),1207
이십곡리,3758
이장1동,10431
이장2동,1771
인성고,72216
인지,675
인탑스(동),248
인탑스(서),14458
일가정양립지원본부,11898
일곡대림2차아파트,3472
일곡사거리,773443
일곡삼호아파트,69813
일곡청솔4차아파트,40497
일곡초교,375809
일곡현대3차아파트,38129
일동중,2860
일동초교,12741
일신방직,6450
일신초교,2839
임곡교,420
임곡동행정복지센터,187
임곡역,3130
임곡정수장,462
임동교,246
임동농협,146438
임동오거리,3438
임동주공아파트,581
임동한국아델리움1차,54929
임동한국아델리움2차,10882
임동행정복지센터,45436
임암,14737
임암입구,909
임정,93
입석,566
입암,135
입하마을,48077
자연과학고,156202
자치샘삼거리,31620
자풍,1000
자활촌입구,1950
작동,256
잠정햇살마을,72
장덕농협,3273
장덕마을,78063
장동마을,1624
장등동,22603
장등마을,3965
장록,754
장성남면농협,585
장성남중,356
장성마산,851
장성백운,1013
장성월곡,311
장수동,2920
장암마을,112846
장원초교(동),24607
장원초교(서),17474
잿등,19656
전남고,27280
전남고등학교,281
전남고입구,68453
전남공고,43879
전남공고입구,76839
전남공무원교육원,6533
전남과학대학포스트비,2534
전남교육연수원,647
전남대,309689
전남대공과대학,387983
전남대동문,242148
전남대병원/남광주시장,1207694
전남대병원오거리/남동성당,378390
전남대사거리(동),898138
전남대사거리(서),145401
전남대스포츠센터,707428
전남대용봉탑,116548
전남방직,5226
전남여고,391499
전남학숙,12485
전대동창회관,44426
전대치과병원,140425
전력거래소,41386
전망대,1912
전자공고,137557
전통공예문화학교,7532
절골입구(북),882
절골입구(서),1684
정광고입구,198167
정렬사,26290
정부광주지방합동청사,13306
정부광주지방합동청사입구,17322
정수장입구,140
정우화학,17630
제2광천교,157444
제2수원지,1538
제석초교,25081
제일맨션,27428
제일장식,14180
제일화학,325
조각배어린이공원,59246
조봉초교,199662
조산동길,213
조산서길,489
조선대,316373
조선대공과대학,530475
조선대대학원,3526
조선대병원,419106
조선대장미원,68757
조선대해오름관,95016
종산,219
종산제입구,346
종합유통단지,8976
주공아파트,260818
주남,77112
주도리입구,176
주룡,4442
주월명지아파트,16424
주월주택단지,302714
주월중입구,269244
주월초교,122788
죽곡(남),2102
죽곡(북),2375
죽산,1416
중방,896
중소기업진흥공단호남연수원,2357
중앙교회,884
중앙대교(동),7781
중앙대교(서),28251
중앙여고,107366
중앙일보,10616
중앙초교,42232
중외마을,135753
중촌,4523
중흥1동행정복지센터,21105
중흥2동행정복지센터,10730
중흥삼거리,28919
중흥시장,23682
중흥아파트사거리,20353
중흥에코파크,5683
중흥초교,137062
지동,482
지동(광산구),1701
지산2동행정복지센터,13960
지산마을,9481
지산유원지,2993
지산유원지입구,6116
지산입구,8262
지산중,47303
지산초교,15627
지상정밀,1860
지석사거리,7123
지실,1029
지실마을,1841
지원2동행정복지센터,61714
지원2동행정복지센터입구,155804
지원화훼단지,23352
지죽동,937
진곡 동길,13870
진곡 서길,388
진곡공원,1946
진곡산단,11818
진곡화물공영차고지,2111
진남초교,5568
진성,95
진성아파트,11183
진원동초교,575
진원면사무소,1264
진원초교,513
진월남양휴튼,41973
진월대주아파트,754880
진월리채3차,32417
진월저수지(동),43664
진월저수지(서),22639
진흥고,28692
찰동,785
창교,875
창암,299
창평고입구,3108
창평초교,957
창평훈련장,688
천교,22630
천덕리,120
천동(광산구),1738
천동(화순),141
천동입구,477
천운장,599
첨단1동행정복지센터,81069
첨단2동행정복지센터,751649
첨단2부영사랑으로아파트,9398
첨단2체육공원,4649
첨단2호반아파트,98538
첨단과학산업단지,33314
첨단금호아파트,43272
첨단대우아파트,6631
첨단도서관,29932
첨단라인8차아파트,53271
첨단라인아파트,268272
첨단롯데마트,186241
첨단병원입구,10623
첨단부영아파트,80158
첨단사거리,281498
첨단삼성전자,8592
첨단생활체육공원,100588
첨단우리은행,25301
첨단종점,44089
첨단초교,61565
첨단초교후문,53196
첨단호반3차아파트,121441
첨단휴먼시아,185136
청명아파트,178939
청풍학생야영장,2217
체육고/폴리텍대학,217115
초동,730
축산시험장,727
충장로5가입구,961
충장사(남),2339
충장사(북),1919
충장치안센터,742781
충효동환벽당,1780
치평중,31524
칠석,13
칠성,291
칠성마을,59099
칠성마을사거리,38371
케이엔,9158
코카콜라,30893
큰별초교,14873
태령,2894
태목,2749
태봉새마을금고,39959
태양식물원,1551
팔마아파트,7462
패밀리농장,136
팽호,817
평동공원,42
평동산단로,210
평동역(남),399
평동역(동),28392
평동역(북),2515
평동역(서),3260
평동우체국,4519
평동중,198
평동초교,1633
평림,495
평산리,1050
평산리(장성),685
평촌,4456
평촌도요지,357
평호동,1613
평화맨션,242234
포백,2158
포충사,2534
폭스존,99563
풍기산업,572
풍숙,2544
풍암SK뷰,35071
풍암고정문,7643
풍암금호아파트,90916
풍암대주아파트,31687
풍암동부센트리빌,27368
풍암동부아파트,5938
풍암모아아파트,245079
풍암사거리(동),247981
풍암사거리(서),3421
풍암우미아파트,276011
풍암저수지,83017
풍암정,2086
풍암한국아파트,232234
풍암한신아파트,209701
풍영정입구,120346
풍영정천1교,55402
풍향삼거리,25669
풍향시장,242740
하남1교,4948
하남2지구,130978
하남3지구모아엘가,25704
하남삼성전자,12601
하남삼성전자사거리(북),3368
하남중,319987
하남철강,14251
하남초교,56043
하남초교(북),12460
하남홈플러스,55503
하니움스포츠센터서문,89
하선,3357
하완마을,2494
하지석,4384
하칠석/고싸움전수관,3811
학2마을아파트,137640
학강교,2233
학강초교,14995
학동(본량),874
학동(서창),876
학동마을,1356
학동무등파크,248976
학동증심사입구역,447670
학동평화맨션,45258
학림교,131629
학산,186
학운초교,11999
학촌,4391
한국광기술원,51809
한국국토정보공사,414411
한국기초과학지원연구원,10367
한국농어촌공사,31810
한국농촌경제연구원,67248
한국단자공업,1611
한국병원,170920
한국생산기술연구원,24397
한국수자원공사,317948
한국알프스,27843
한국은행,179755
한국전기연구원,15137
한국전자통신연구원,34177
한보요업,161
한빛1교,2974
한양아파트,22266
한재중,5595
한재초교,3093
한전KDN,73129
해태아파트,122011
해태제과,38936
해평리,498
행정,823
행정리,2912
향교,186001
향등,972
향토문화거리입구,5617
향토음식박물관,322194
혁신로,1704
현대교통,2636
현대아파트,384698
현대위아,22321
현대자동차,650270
현진기업,1106
호가정,5892
호남권역재활병원,12660
호남대,324173
호남맨션,87969
호남삼육고,41608
호남삼육고입구,70694
호남샤니,6584
호수공원,62829
홍림교,159078
화남마을,2666
화산(장성),841
화순공공도서관입구,99531
화순광업소,217
화순교(남),15076
화순교(동),8541
화순군선거관리위원회,9953
화순미륭아파트,26341
화순부영3차아파트,20996
화순부영아파트,71435
화순사평,99
화순서라아파트,8480
화순역,6986
화순영재교육원,75
화순용곡마을,5848
화순우체국,40169
화순전남대병원,33846
화순전남대병원입구,4413
화순제일중,24035
화순중(남),10022
화순터널,751
화순터미널,16513
화암,8190
화암마을위,1042
화인특장,1842
화장뒷길,420
화장앞길,746
화정남초교,101518
화정무등파크,39382
화정사거리,88566
화정역,50420
화정우성아파트,31783
화정중,226539
화정중흥파크,376575
화정현대아파트,126316
화천기공,4372
화훼단지,71648
황곡입구,12
황산,1374
회룡(광산구),372
효덕동행정복지센터,19515
효동초교입구,327705
효령노인복지타운,30310
효령동,1117
효천1LH1단지아파트,3316
효천물빛노닐터,271
효천천년나무3단지,13181
효천초교,129373
흑석,683
흑석사거리(남),25746
흑석사거리(동),211707
흑석사거리(서),72947
희망가아파트,10919
힐스테이트 각화,15790
힐스테이트연제아파트,54496
