연번,사업명,위치,사업개요,사업기간(시작연월일),사업기간(종료연월일),총사업비(백만원),담당자전화번호,데이터기준일자,담당자
1,빛고을 창업 스테이션 건립사업,광주광역시 북구 중흥동 611-15번지 일원(광주역 구내),"부지 5,503.5㎡, 연면적 8,949.58㎡(지상5층)",2019-05-01,2024-12-31,35000,062-613-6731,2024-10-15,신유상
2,김대중컨벤션센터 제2전시장 건립사업,광주광역시 서구 치평동 1156외1(김대중컨벤션센터 제1주차장 부지),"부지 18,932㎡, 연면적 46,000㎡(지하2~지상4층)",2020-01-01,2025-12-31,146100,062-613-6731,2024-10-15,신유상
3,영락공원 제3봉안당 등 건립사업,광주광역시 북구 효령동 100-2번지 일원,"연면적 화장장 1,800.24㎡(지상2층), 봉안당 6,000㎡(지1~지상3층)",2023-03-07,2026-12-31,23900,062-613-6731,2024-10-15,신유상
4,장애인수련시설 건립사업,광주광역시 광산구 삼거동 603-1,"부지 17,973㎡, 연면적 11,584.94㎡(지하1층~지상4층/ 2동)",2019-12-01,2025-12-31,40781,062-613-6735,2024-10-15,서준성
5,장애인회관 건립공사,광주광역시 광산구 신창동 10-58 외 6필지,"부지 7,590㎡, 연면적 2,500㎡",2021-02-15,2025-12-31,15000,062-613-6735,2024-10-15,서준성
6,청각·언어 장애인 복지관 건립 사업,"광주광역시 북구 하서로 195(양산동 633-1, 633-11)","부지 8,466㎡, 연면적 1,551.8㎡(지상4층)",2020-01-01,2025-05-31,9207,062-613-6735,2024-10-15,서준성
7,서부권 노인복합시설 건립사업,광주광역시 광산구 비아동 산 60번지 일원,"부지 22,173㎡, 연면적 4,088㎡(지상3층/1동)",2021-02-19,2025-12-31,37000,062-613-6736,2024-10-15,박지영
8,공공어린이 재활의료센터 건립사업,광주광역시 북구 하서로 590(호남권역재활병원),"연면적 17,099㎡, 지하1층~지상4층",2021-06-01,2025-04-30,7200,062-613-6736,2024-10-15,박지영
9,월봉서원 문화예술 체험복합관 건립사업,광주광역시 광산구 광산동 477 일원,"연면적 2,267㎡, 지하1층~지상2층, 2개동",2022-06-30,2026-02-28,11900,062-613-6736,2024-10-15,박지영
10,광주공원 노인복지관 본관 내진보강 및 환경개선공사,광주광역시 남구 서오층석탑2길 17(광주공원노인복지관),"내진보강(3개층), 화장실 리모델링(85.65㎡) 등",2024-02-01,2024-12-31,318,062-613-6726,2024-10-15,한단비
11,하남지구 시립도서관 건립사업,광주광역시 광산구 하남동 641번지,"부지 9,950㎡, 연면적 6,895.94㎡(지하1층~지상4층/ 1동)",2020-09-01,2025-04-30,29180,062-613-6715,2024-10-15,최준형
12,에너지산업 지식산업센터 건립사업,광주광역시 남구 압촌동 361-7번지,"부지 5,116㎡연면적 10,981.34㎡(지하1층~지상6층/ 1동)",2023-02-03,2026-12-31,36400,062-613-6715,2024-10-15,최준형
13,사직공원 상설공연장 조성사업,광주광역시 남구 양림동 108-10번지,"부지 4742㎡, 연면적 3749㎡",2020-01-01,2025-12-31,19260,062-613-6737,2024-10-15,강옥곤
14,극락강역 폐사일로 문화재생사업,광주광역시 광산구 신가동 212-2번지(극락강역 부지 내),"부지 2679㎡, 연면적 1165㎡(지상6층)",2020-01-01,2025-12-31,4407,062-613-6737,2024-10-15,강옥곤
15,광주대표도서관 건립사업,광주광역시 서구 치평동 1163(상무소각장),"부지 10,200㎡연면적 11,286㎡(지하2층~지상2층/ 1동)",2019-06-01,2025-12-31,51663,062-613-6716,2024-10-15,정다은
16,본촌산단 복합문화센터 건립사업,광주광역시 북구 양산동 418-2번지 (본촌공단복지회관),"부지 3,073.2㎡, 연면적 1,105.76㎡ ",2023-05-15,2025-12-31,3862,062-613-6725,2024-10-15,정경윤
17,유네스코 세계지질공원 동아시아 플랫폼 건립,광주광역시 북구 충효동 877번지 일원(광주 생태문화마을 內),"부지 6,800㎡, 연면적 7,980㎡ (지하1층~지상2층/1동)",2021-01-01,2025-12-31,32700,062-613-6718,2024-10-15,권다래
18,광주소방안전본부 및 서부소방서 합동청사 건립사업,광주광역시 서구 화정동 324-2번지 일원(舊 경찰기동대 부지),"부지 8,967㎡, 연면적 11,920㎡(지하1층~지상6층/1동)",2020-01-01,2028-12-31,65513,062-613-6718,2024-10-15,권다래
19,광산소방서 청사 증축사업,광주광역시 광산구 하남산잔1번로 13(광산소방서 후정 별관동),"연면적 341.13㎡(지상3층, 1동)",2023-06-01,2024-11-30,1214,062-613-6718,2024-10-15,권다래
20,창업기업성장지원센터 건립사업,광주광역시 북구 일곡동 758번지(본촌산단 내 舊 로케트전기부지),"부지 6,350㎡, 연면적 14,416.92㎡",2023-06-01,2024-11-30,45000,062-613-6724,2024-10-15,정정욱
21,농식품가공 창업보육센터 건립사업,광주광역시 광산구 평등로 800번길 52,"연면적 911.5㎡(지상3층, 1동)",2023-12-01,2024-12-31,4360,062-613-6724,2024-10-15,정정욱
22,광주시민의 숲 야영장 시설개선 건축공사,광주광역시 북구 추암로 190일원(시민의숲 야영장 내),안내소 연면적 150㎡(지상1층/1동) 등,2024-06-01,2024-12-31,1000,062-613-6724,2024-10-15,정정욱
23,광역동물보호센터 건립,광주광역시 북구 본촌동 379-2,"부지 3,307㎡, 연면적 999.8㎡(지하1층~지상2층)",2022-03-21,2024-12-31,4549,062-613-6733,2024-10-15,문형호
24,원효사상가 이주단지 힐링촌(숙박) 건립사업,광주광역시 북구 충효동 756번지 일원(광주 생태문화마을 內),연면적895㎡(10동),2022-08-04,2025-12-31,6735,062-613-6733,2024-10-15,문형호
25,장록습지 탄소흡수원 조성사업,광주광역시 광산구 서봉동 82-9번지 등 29필지(황룡강대상근린공원 內),"부지 11,051㎡, 연면적 2,317,54㎡(지상4층, 1동)",2023-01-01,2026-12-31,19500,062-613-6733,2024-10-15,문형호
26,첨단시내버스 공영차고지 조성사업,광주광역시 광산구 비아동 4-1번지 일원,"부지 11,051㎡, 연면적 2,317,54㎡(지상4층, 1동)",2021-01-01,2025-12-31,29673,062-613-6722,2024-10-15,이도윤
